type	x	y	z	density
t = 0
0	2	3	13	1.336117
0	2	3	14	1.002088
0	2	3	15	0.534447
0	2	3	16	0.334029
0	2	3	17	1.035491
0	2	3	18	1.102296
0	2	3	19	0.300626
0	2	4	0	1.736952
0	2	4	1	2.171190
0	2	4	2	1.569937
0	2	4	3	0.868476
0	2	4	4	0.901879
0	2	4	5	1.169102
0	2	4	6	2.772443
0	2	4	7	0.768267
0	2	4	8	0.233820
0	2	4	9	0.133612
0	2	4	10	0.835073
0	2	4	11	0.467641
0	2	4	12	1.436326
0	2	4	13	1.803758
0	2	4	14	0.701461
0	2	4	15	0.334029
0	2	4	16	0.233820
0	2	4	17	0.434238
0	2	4	18	0.968685
0	2	4	19	1.569937
0	2	5	0	1.870564
0	2	5	1	1.269311
0	2	5	2	0.634656
0	2	5	3	0.467641
0	2	5	4	0.367432
0	2	5	5	1.002088
0	2	5	6	1.670146
0	2	5	7	1.436326
0	2	5	8	1.803758
0	2	5	9	1.569937
0	2	5	10	0.901879
0	2	5	11	1.235908
0	2	5	12	1.035491
0	2	5	13	0.668058
0	2	5	14	1.235908
0	2	5	15	0.233820
0	2	5	16	0.133612
0	2	5	17	0.534447
0	2	5	18	1.503132
0	2	5	19	2.739040
0	2	6	0	1.536534
0	2	6	1	0.400835
0	2	6	2	0.467641
0	2	6	3	0.567850
0	2	6	4	0.434238
0	2	6	5	1.603340
0	2	6	6	1.536534
0	2	6	7	2.004175
0	2	6	8	1.736952
0	2	6	9	1.235908
0	2	6	10	0.935282
0	2	6	11	1.736952
0	2	6	12	0.868476
0	2	6	13	1.235908
0	2	6	14	0.801670
0	2	6	15	0.300626
0	2	6	16	0.400835
0	2	6	17	1.102296
0	2	6	18	1.469729
0	2	6	19	1.770355
0	2	7	0	1.436326
0	2	7	1	1.035491
0	2	7	2	0.267223
0	2	7	3	1.369520
0	2	7	4	0.835073
0	2	7	5	2.070981
0	2	7	6	1.636743
0	2	7	7	2.405010
0	2	7	8	1.135699
0	2	7	9	0.567850
0	2	7	10	1.169102
0	2	7	11	1.536534
0	2	7	12	1.736952
0	2	7	13	1.102296
0	2	7	14	0.734864
0	2	7	15	0.634656
0	2	7	16	0.935282
0	2	7	17	1.670146
0	2	7	18	0.901879
0	2	7	19	0.968685
0	2	8	0	1.937370
0	2	8	1	0.668058
0	2	8	2	0.534447
0	2	8	3	0.835073
0	2	8	4	0.701461
0	2	8	5	0.935282
0	2	8	6	2.371608
0	2	8	7	1.369520
0	2	8	8	0.734864
0	2	8	9	1.068894
0	2	8	10	1.035491
0	2	8	11	1.436326
0	2	8	12	2.237996
0	2	8	13	0.935282
0	2	8	14	1.302714
0	2	8	15	0.968685
0	2	8	16	1.302714
0	2	8	17	1.937370
0	2	8	18	1.937370
0	2	8	19	1.970772
0	2	9	0	1.402923
0	2	9	1	0.200418
0	2	9	2	0.133612
0	2	9	3	0.267223
0	2	9	4	1.235908
0	2	9	5	1.002088
0	2	9	6	1.670146
0	2	9	7	0.835073
0	2	9	8	1.035491
0	2	9	9	0.935282
0	2	9	10	0.367432
0	2	9	11	1.870564
0	2	9	12	2.237996
0	2	9	13	1.402923
0	2	9	14	0.601253
0	2	9	15	0.601253
0	2	9	16	0.434238
0	2	9	17	0.668058
0	2	9	18	1.369520
0	2	9	19	2.338205
0	2	10	0	0.768267
0	2	10	1	0.835073
0	2	10	2	0.200418
0	2	10	3	0.868476
0	2	10	4	2.805846
0	2	10	5	1.803758
0	2	10	6	0.267223
0	2	10	7	0.901879
0	2	10	8	1.670146
0	2	10	9	1.302714
0	2	10	10	0.901879
0	2	10	11	1.202505
0	2	10	12	2.037578
0	2	10	13	1.903967
0	2	10	14	0.901879
0	2	10	15	0.334029
0	2	10	16	0.968685
0	2	10	17	0.801670
0	2	10	18	1.469729
0	2	10	19	1.002088
0	2	11	0	0.400835
0	2	11	1	0.935282
0	2	11	2	1.068894
0	2	11	3	1.436326
0	2	11	4	2.104384
0	2	11	5	1.569937
0	2	11	6	0.868476
0	2	11	7	1.235908
0	2	11	8	1.402923
0	2	11	9	0.868476
0	2	11	10	0.567850
0	2	11	11	0.768267
0	2	11	12	1.002088
0	2	11	13	0.567850
0	2	11	14	0.334029
0	2	11	15	0.434238
0	2	11	16	1.102296
0	2	11	17	1.235908
0	2	11	18	2.338205
0	2	11	19	1.670146
0	2	12	0	1.870564
0	2	12	1	2.037578
0	2	12	2	2.271399
0	2	12	3	1.636743
0	2	12	4	1.736952
0	2	12	5	1.536534
0	2	12	6	0.467641
0	2	12	7	0.701461
0	2	12	8	1.235908
0	2	12	9	1.302714
0	2	12	10	0.768267
0	2	12	11	1.169102
0	2	12	12	0.935282
0	2	12	13	0.734864
0	2	12	14	1.536534
0	2	12	15	1.002088
0	2	12	16	1.035491
0	2	12	17	0.400835
0	2	12	18	1.369520
0	2	12	19	2.304802
0	2	13	0	3.941545
0	2	13	1	3.039666
0	2	13	2	2.672234
0	2	13	3	2.004175
0	2	13	4	0.768267
0	2	13	5	0.467641
0	2	13	6	0.167015
0	2	13	7	0.501044
